word,phonotactic_probability,log_phonotactic_probability
abrend4lx,1.1698676257025432e-44,-101.15685348975438
amdijufn,2.2830882702527644e-43,-98.18562996779448
fleniu4r8d,5.8461834325723586e-58,-131.78414635000792
andce9li,1.418366609030296e-50,-114.77974871549432
alcirx94n,1.711318928802987e-52,-119.19716045908385
elpu15jv,5.646550282678824e-49,-111.09562476746069
adhuxinqlt,1.4276511399630796e-47,-107.86546883639454
fil5nxke,9.678346576581132e-44,-99.04385301324334
radofnit,4.683648429169839e-43,-97.46708161364575
apilc5kmf,2.6573723475920458e-46,-104.94157648241836
admunbl8,3.3793124157141415e-44,-100.09607183024073
gdtvli8xe,1.903436124473113e-46,-105.27525353833178
alwien48,5.0659387544051773e-57,-129.62481083869127
afts4nulv,5.991013999824279e-45,-101.82606850482374
adzprel,1.345636611492454e-32,-73.3858557576401
aidcl4fre,6.88710231233738e-52,-117.80477440337387
amnirueft,5.818746230441113e-52,-117.97334002147701
ani4ledz,7.524056021665475e-49,-110.80856419956811
azmebr4n,1.5177645980294553e-42,-96.29133531256355
avenfx4tm,2.978350515965703e-47,-107.13012974158286
alfux5n,2.1635559324532296e-42,-95.93682077263807
arcinfdq,2.8223772004573524e-36,-81.85548383905719
adn91xfikv,1.2309464082252712e-56,-128.73698189656605
adzeuvr,6.130291003574967e-39,-87.98757640591135
aerulivnm,6.779854716533452e-53,-120.12305425520161
alcurknf,2.363335196956269e-35,-79.73040441435903
anhurlet,2.105621496494914e-43,-98.2665483274456
ridme5nfa,3.160303849458974e-51,-116.28117156482801
armbnxfvut,1.068015517338158e-41,-94.34018654298058
admulvf5,2.739766549193054e-46,-104.91104156198037
dlenitpur,1.083816503877315e-45,-103.53584057290949
arewizknjv,1.0239977013770193e-49,-112.80295527484245
irmanpxv1ub,9.540517399146637e-59,-133.59697276794776
mon5ilf,2.7810456335599564e-38,-86.47540654960945
honduim,1.2564354071607976e-36,-82.66478467806071
andmzverl,2.965030299920259e-36,-81.80617609619078
mentz4q,4.208007043780531e-31,-69.94314873347919
hodem4n,1.3702731831029926e-39,-89.48580850308122
abdevmukt,6.436706245169545e-46,-104.05689732105976
afcinem,8.355491770497526e-43,-96.88823997900356
eflcnx5a,8.166492263027288e-43,-96.9111195256371
adfulm4i19t,2.1854556359992108e-67,-153.49137689473125
hiradul4k9,1.6845154826552374e-64,-146.8439679765499
alrvbfn9,9.164692975060075e-41,-92.190630431746
pedriv5a,2.3636951259550984e-48,-109.66385833781911
adtiux8nle,4.3032824296976223e-66,-150.51123805037167
cfnu0m4t,9.847613102808978e-41,-92.11875971152514
afnci9m,6.923251496358996e-40,-90.16851819107028
adly2ifnv,4.425920715909713e-43,-97.5236806705359
admisrlfut,6.500399972445798e-48,-108.65222075448332
avbzr5n,3.792858827768489e-35,-79.25735821192632
thendv4ma,1.3772547902703696e-44,-100.99365185623188
afvixmn,9.950787917407234e-36,-80.5954116120712
aficpretu9d,1.0022646875101043e-63,-145.06059873165438
altvi8ku4,2.7770514233407622e-59,-134.83113076090788
banuefitl,9.686086152452576e-50,-112.85856421122719
aptnrvum,2.451784532239295e-35,-79.69366211486947
miafnu54kt,1.3193164112008944e-55,-126.36506638251772
alexb8nru,4.128414072328317e-57,-129.8294569692928
avel4nkq,3.244746114755696e-45,-102.43929207654108
dlpinrkav,3.748672878599551e-36,-81.57166146948049
dinel5vza,6.005852263702958e-54,-122.54686065053792
amebuki49,2.82399139942659e-67,-153.23504995650353
atdefin9,2.429734171940639e-54,-123.45181316457311
betinr4,7.28625829705187e-42,-94.72258375664563
amezuniq,1.858158304293347e-52,-119.11483899747857
dmvilu4t,9.014079094284058e-41,-92.20720111392151
andimeqkx,3.6843621157960264e-49,-111.52257214895572
branki,6.3558638533104e-08,-16.571302915691327
ademuxnf89,5.144345465125066e-64,-145.72754780808853
blatern5m9,1.837463906509483e-55,-126.0337938054765
foalzbm,1.9425750582189586e-29,-66.1109532543044
bamderl,1.116423312310966e-31,-71.27000777867035
aenfitlr41,4.784312173014769e-61,-138.89234840456078
dolamef9n,2.173446559282418e-52,-118.95811065194764
adftnrl89,7.195129992069788e-45,-101.64292477755527
anfxkmv,4.563640705171578e-27,-60.651676805607956
eftsu5mrz94l,1.2798511969968567e-62,-142.51353194680334
adiuvlnx,3.105692581846957e-42,-95.57533716150233
ainselv,6.37566235130911e-39,-87.94833064287577
almuinf,3.3784895942152474e-39,-88.58338988276384
anheicjr,8.713416403911179e-44,-99.14888013852429
arfuli,5.679302287234569e-41,-92.66916042432234
pdvfn4er,2.2622233180015137e-35,-79.7741301560638
plaifxmqu,2.9194470945994184e-44,-100.2423498445516
aitenvuf1,7.140817459324587e-61,-138.4918634127373
itdan4xrze,2.693489120339007e-60,-137.1642681557406
anvix9f,5.835604675976829e-43,-97.24718110924401
pinfedmub,1.5550704701738118e-44,-100.87222322869391
bidz4nfv,6.76862006511066e-35,-78.6781810194989
alenckri4,3.6447268619982655e-54,-123.04631359400551
jindetmv9,2.3077153279342534e-45,-102.78007118514302
athinkflu,7.547397944845304e-47,-106.20029650992913
milgf8nae,1.721761106297146e-52,-119.1910771696821
advienlm8,1.1215082754052318e-52,-119.61975038186722
grandmel,5.349975450758776e-32,-72.0056310035553
antfixe45dm,2.5444507873399703e-62,-141.82636093956893
aghuiz4fr,2.7865847641755864e-51,-116.40702299554583
anikblf8d,4.246278991826472e-45,-102.1702861166321
petsvim8n,2.378683278908146e-43,-98.14461190831284
arilev5mdu,6.11185340923902e-66,-150.1603860701209
agrniexlu,1.3359989071605004e-52,-119.4447455785699
cmtu15n,6.459353783725867e-36,-81.02753406847378
afbeitrun,1.838153002913943e-51,-116.823078477987
agniv54xl,9.468605999625169e-52,-117.48644314105675
airlmxtu,1.5458319963908325e-42,-96.27301163135331
blnsirtvm,6.8916099420626075e-28,-62.542077882523316
amdn8fler,2.8380262337547724e-46,-104.8758054552837
hlqinf1xv4,7.048266280294557e-50,-113.17647298080954
anlpvkm,2.19339253947555e-28,-63.686933153846624
afluvi8d,2.7039433569241082e-48,-109.52937325363598
bridemnkx,6.602350885659486e-38,-85.61080775336677
aflurid,6.340353758137429e-41,-92.5590542480499
airfmenl,3.847315060687049e-42,-95.36119838757207
chivanl4b,8.575906879039515e-45,-101.46737243878351
atmijvfn,1.6388525792044003e-38,-87.00423718363128
adinev5r,1.3947323527749584e-52,-119.40172230063494
trd1lix9a,9.764328508864235e-52,-117.45568903881943
filesuj9z,1.3671982445238595e-51,-117.11907617387158
anhefvk4u,2.376215941128603e-55,-125.77667083298846
aivlr4n,1.890178416094825e-39,-89.16414740210146
ajnvfx5ud,1.798603168731187e-47,-107.63448902444694
arnikbuvx,8.330351624749131e-48,-108.4041787965717
avizelwm,8.82398156760487e-46,-103.74144108467046
avelmn5,5.845420701337456e-43,-97.24550043013338
lifetdrz,2.1130581587987362e-33,-75.2371718062707
gentuf5qm,2.448266718534956e-43,-98.115778686379
aezuin1v9,4.0829653210677245e-67,-152.86637771179278
netzli5av,1.798611303043591e-49,-112.23965468787321
ambrenzt9,1.1242654941319713e-45,-103.49919925640876
alwvxr,2.7567798114111307e-28,-63.45831934026534
ainux45kme,4.940409234423519e-71,-161.88609343383212
agnul45fd,2.4445168824541847e-52,-118.84057732637609
beimlxu1na,7.014151853967364e-61,-138.5097608710295
avenm5ufz,2.639625732401486e-52,-118.76378769661193
dietnm5vr,9.479512600262571e-43,-96.76202609727316
denayurim,1.0528010538289603e-52,-119.6829705531246
amiunftr,3.4598869053080087e-40,-90.86216781755357
beltim5nu,9.893823247772063e-54,-122.04768437361994
bfnicluzem,4.8964967571333087e-48,-108.93556446181829
inmudxv,3.486856194830033e-36,-81.64406282131247
agfivum8,2.6198422648898066e-53,-121.0738958169643
avic4eq9u,3.8127593786802843e-67,-152.93484805722952
mizluftd4n,7.96062835288759e-47,-106.14699143517439
ameik41ft,4.023114241781753e-57,-129.8552940109344
dezaslvx,3.395487342763994e-35,-79.36803095687696
arcdnx459e,4.28937254231045e-60,-136.69896511793362
trpniv15d,2.568989160065201e-41,-93.46247631415233
apinermud,1.0531133261642668e-53,-121.98525907913515
prinhf5lkm,6.143792800015401e-39,-87.9853763554469
elhumri,1.8867445764276e-43,-98.3763061011233
di79nmvz,7.444916050804507e-38,-85.49070214361745
advisrnkfx,2.2129345701982797e-41,-93.61166931823418
elzi8vfd,6.8739204238088205e-43,-97.08342439678589
alreifmq4,1.0353991155647535e-54,-124.30480805038985
dvfnixe9,6.204237816646605e-45,-101.79109660735963
altydenm,1.372107158160685e-37,-84.87930081091027
afhnimeb,1.943320844269717e-47,-107.55710108566586
afnuvixt5j,1.628441194891186e-56,-128.4571419725683
adelinv1r,1.1850059948704558e-54,-124.16984718814176
atdi1rn,8.915850025511784e-40,-89.91557312520608
emlinkvra,2.493470770409511e-48,-109.61040884009307
alczu1en,2.1726895445680975e-48,-109.74811864215059
mizunl5fxd,1.1733614646206584e-48,-110.36421178753073
filmcz51,1.74707322551931e-42,-96.15063196046822
ipmaneru5,2.616861039136007e-62,-141.79830024279107
movidepal,5.189080824540965e-52,-118.08786825929562
alcrwijn,5.164201450613137e-35,-78.94872777199235
admev91nr,4.1112342420863894e-52,-118.32070155005312
antelm84iq,1.0164407517319351e-58,-133.53362832780726
avenw4lr,2.5418991180442693e-44,-100.3808326058148
drivn1mz8a,4.711902556036506e-53,-120.48691816250727
dienzvqlpx,4.133244463789332e-37,-83.77658575776408
indefz0v,2.1200267536836882e-44,-100.5623153834716
agipernvl,1.0975969873930884e-44,-101.22062085847433
jfiun5p4,1.0566882682969561e-50,-115.07411490750692
aminle4xdt,1.0614256237775492e-56,-128.88515227505624
apcf5i4ur,2.626992132824093e-56,-127.97892569170533
myladbzu5q,3.1157181242430864e-45,-102.4798695215846
agmel9u4i,5.23013181412918e-65,-148.01359456338736
agnufv5pl,5.080847294089605e-46,-104.29343623986853
ahe4lxu,1.5640778739386326e-49,-112.37937312430381
aicuxnfmz,1.1293514389243012e-43,-98.88951547864544
afiv0elub4,4.776270338412617e-71,-161.91988162456863
arvimz5,2.7611672689131198e-42,-95.69292039190856
andwzu4v,1.7246142436311647e-42,-96.1635705071553
mdfil2ean,6.518612923466802e-48,-108.64942285220795
aidpmr5fe,1.8558904290394335e-54,-123.72123042513505
apvie5u,1.0477788087487222e-53,-121.99033742541621
ardienl,6.014857771655932e-39,-88.00658592323069
agnublfi,1.567971757074863e-43,-98.56137608904757
aperlkx85,1.3206080004943446e-55,-126.3640878776857
giaemn9prx,8.009950837905263e-50,-113.0485700262307
anwuimekvfd,4.918403201278645e-59,-134.2595365614087
cdnivm49,1.5700632890187332e-42,-96.25745797572529
enzar5l9,8.400955870496887e-53,-119.90866443520244
alfkinj9,1.0060668978921081e-44,-101.3076955233727
arelikufv,8.933110259939688e-57,-129.05758567302595
ardfu5l4,1.3035515924161995e-50,-114.86416211618143
anwirmxl,5.808901749607637e-36,-81.13367182239605
amfxi4un,5.1685765643320166e-49,-111.18407223214504
balvim9n4z,1.1352876077214174e-53,-121.91012391097763
ringfluv9,5.865182690531611e-46,-104.14988064682504
alieru4x,6.441793356561514e-57,-129.38454332779457
abdit4mn5,1.2770234807022003e-56,-128.70023324339115
agenfvudz4m,1.0881896901033404e-58,-133.4654199128962
ahifem,4.993181395612635e-39,-88.19274536592472
ageniukd5,6.7418408141802856e-62,-140.8519427601656
avfm5iezn9,1.2083077615475442e-63,-144.8736400220675
admu5l18n,1.1576610672382567e-57,-131.10094865240117
godiv5kln8,1.7969476833657914e-55,-126.05609062061387
aetnl1ku,1.347052348713959e-51,-117.13392098283546
bdnsi8m9za,3.2885302309840213e-53,-120.84656920202715
avdzne,2.5241457376155667e-32,-72.75682029206226
alizckdex,7.042606094698319e-50,-113.17727636412748
apvu8rf,3.9494481973128147e-41,-93.03241294048419
airlvn5f9,4.778443677754601e-53,-120.47289502562504
aezimv5nt1,2.3973464255188616e-63,-144.18849838899334
elnai49v81m,2.7723157641495293e-74,-169.37161389468835
artlvfnm,1.1306339593005211e-28,-64.34960410249558
ginelm5,2.431066923983406e-41,-93.51765858839588
anfeclj9ud,2.192019092491051e-52,-118.9496017565645
amnieulr5,1.9157976064903393e-60,-137.50497153902944
avinbulk,5.51883809927069e-43,-97.30299164987349
mlfniue,2.8574479861302813e-37,-84.14571952683761
apernlzf,5.380406358296824e-36,-81.21029944518236
beinux4l,1.413776411981382e-49,-112.48040512621961
adfiev5k9,4.595339869062463e-61,-138.9326479545889
grialnvdft,7.187709705905903e-35,-78.61810567261989
agniemd9,7.330937220671336e-51,-115.43973637403386
arimwu48,3.0820746108482406e-57,-130.12174735547418
aliubernf,1.0640683082995878e-51,-117.36974015430789
aftervln,3.133289482870363e-35,-79.44839484911029
alevixz,3.4321262859823157e-44,-100.08056411417438
aftuvxep5n,1.568228447510968e-57,-130.797403695779
aiclu9,7.531492635701328e-44,-99.29465084437749
atvi9n45m,6.707649650999694e-59,-133.94927187258483
anzuflvik,1.3780333563155875e-43,-98.69050162012066
koiz5vnm,1.6963708486746502e-40,-91.57491254551975
adfui5jnr,4.9825200401000515e-51,-115.82590394750225
airn9xu4,3.684145644377626e-58,-132.2458967417386
anhelmu,2.7208081325655586e-42,-95.70764496200886
apevduil,1.887848593904318e-49,-112.19123168610724
avmizler,2.7485391965995302e-45,-102.60525961542747
chlux1n4,1.569934081245309e-46,-105.4678806457153
alne51uxmw,5.765835938394796e-62,-141.00832562009816
aleby34xn,7.973786690390838e-52,-117.65826533772974
admvle,1.4074804296281711e-33,-75.6435068922179
abhdiun1,3.2529723639519194e-54,-123.1600258697807
moifnk4u9,2.5676551315974533e-55,-125.6991870324124
atrienbm4,1.2262089816977723e-52,-119.5304975545479
agquelcd,6.932864001102001e-43,-97.07488599514477
cnteukr9,1.7333376244479033e-39,-89.25076981420855
alvinbeu,3.343184593602028e-50,-113.92233082584022
aifelnmtr,4.0185845801314456e-44,-99.92281434560157
difpbuxm,9.369945499203965e-37,-82.95814116106666
artvfe5x,5.357803973403928e-44,-99.63518990706241
amicluv,2.057247582846727e-41,-93.68461984819675
abdu9ket,5.239770833760976e-50,-113.47297688634077
difcxna,1.262534560182548e-36,-82.65994209159092
apeciuf,6.425638660316669e-48,-108.66378843548908
aimunf45d,5.768711143910513e-57,-129.49490161703108
apnumbe,6.626076485770886e-43,-97.12014615165324
apcinvu9,5.809725636750279e-51,-115.67230639553784
